HASTUS_ID,TRANSLINK_ID,DESCRIPTION,STREET_NAME,NEAREST_CROSS_STREET,EASTING,NORTHING,LATITUDE,LONGITUDE,SUBURB,BUS_STOP_TYPE,TACTILE_GROUND_SURF_INDICAT Y_N,BOARDING_POINT,ROAD_GRADIENT,CROSS_FALL,DATE_OF_LAST_AUDIT
1901,303799,Ascog Terrace - 16,Jephson St,Ascog Tce,"499,091.80","6,960,093.90",-27.48275,152.990807,TOOWONG,Intermediate,Y,Hard,Easy,Easy,20/07/2012 0:00
1902,303781,Ascog Terrace - 16,Ascog Tce,Jephson St,"499,074.00","6,960,084.80",-27.482832,152.990626,TOOWONG,Regular,Y,Medium, ,Easy,20/07/2012 0:00
1907,303778,Bulldogs - 13,Sylvan Rd,Earle La,"499,250.50","6,960,286.40",-27.481012,152.992413,TOOWONG,Intermediate,Y,Hard,Easy,Medium,20/07/2012 0:00
1909,,Sylvan Rd,SYLVAN RD, ,"499,337.80","6,960,239.10",-27.481439,152.993297,TOOWONG,Regular with seat, ,Medium,Easy,Hard,
1910,303468,Milton - Sylvan - 14,Milton Rd,Valentine St,"498,727.90","6,960,563.10",-27.478514,152.987123,TOOWONG,Intermediate,N,Medium, , ,10/04/2007 0:00
1911,303482,Milton - Sylvan - 14,Milton Rd,Valentine St,"498,740.00","6,960,547.30",-27.478656,152.987246,TOOWONG,Intermediate,N,Medium,Hard,Hard,11/04/2007 0:00
1912,303481,Morley Street - 13,Milton Rd,Quinn St,"498,873.00","6,960,547.90",-27.478651,152.988592,TOOWONG,Regular,N,Medium,Hard,Hard,11/04/2007 0:00
1913,303469,Morley Street - 13,Milton Rd,Eldridge St,"499,058.60","6,960,660.40",-27.477635,152.990471,TOOWONG,Intermediate,Y,Medium,Hard,Medium,10/04/2007 0:00
1914,303480,Markwell Street - 12,Milton Rd,Penrose St,"499,138.80","6,960,707.80",-27.477208,152.991283,TOOWONG,Regular with seat,N,Medium,Hard,Medium,11/04/2007 0:00
1915,303470,Markwell Street - 12,Milton Rd,Markwell St,"499,163.40","6,960,749.80",-27.476828,152.991532,AUCHENFLOWER,Intermediate,N,,Hard,Easy,10/04/2007 0:00
1916,303471,Park Avenue - 11,Milton Rd,Park Av,"499,286.20","6,960,852.80",-27.475899,152.992775,AUCHENFLOWER,Intermediate,N,Medium,Easy,Easy,10/04/2007 0:00
1917,303479,Park Avenue - 11,Milton Rd,Park Av,"499,296.90","6,960,840.80",-27.476007,152.992883,AUCHENFLOWER,Intermediate,N,Hard, , ,11/04/2007 0:00
1918,303472,Auchenflower Shops - 10,Milton Rd,Munro St,"499,548.70","6,961,079.30",-27.473854,152.995432,AUCHENFLOWER,Regular with seat,N,Medium,Medium,Hard,10/04/2007 0:00
1920,302719,Accession Street - 20,Accession St,Empress Tce,"498,622.40","6,963,235.10",-27.454391,152.986059,BARDON,Regular with seat,Y,Medium,Medium,Medium,20/05/2008 0:00
1921,303478,Auchenflower Shops - 10,Milton Rd,Grimes St,"499,610.30","6,961,110.50",-27.473572,152.996056,AUCHENFLOWER,Intermediate,N,,Medium,Medium,11/04/2007 0:00
1922,303473,Hobbs Street - 9,Milton Rd,Bangalla St,"499,728.00","6,961,230.10",-27.472493,152.997247,AUCHENFLOWER,Intermediate,Y,Hard, , ,10/04/2007 0:00
1923,303477,Hobbs Street - 9,Milton Rd,Hobbs St,"499,750.50","6,961,228.50",-27.472507,152.997475,AUCHENFLOWER,Intermediate,Y,Medium,Medium,Easy,11/04/2007 0:00
1925,303476,Milton - Torwood - 8,Milton Rd,Eagle Tce,"499,997.10","6,961,440.30",-27.470595,152.999971,MILTON,Intermediate,Y,Medium, , ,11/04/2007 0:00
1926,303695,Fairseat Street - 18,Birdwood Tce,Siemon St,"498,831.80","6,961,439.20",-27.470604,152.988176,AUCHENFLOWER,Regular,Y,,Easy,Easy,19/03/2012 0:00
1927,303749,Fairseat Street - 18,Birdwood Tce,Fairseat St,"498,854.80","6,961,463.00",-27.470389,152.988409,AUCHENFLOWER,Intermediate,N,Easy, ,Medium,19/03/2012 0:00
1928,303696,Birdwood Corner - 19,Birdwood Tce,Frederick St,"498,667.90","6,961,419.90",-27.470778,152.986517,AUCHENFLOWER,Regular,N,Medium,Hard,Easy,13/04/2007 0:00
1929,303693,Hume Street - 16,Birdwood Tce,Hume St,"499,054.80","6,961,337.70",-27.471521,152.990433,AUCHENFLOWER,Regular,Y,Easy, , ,13/04/2007 0:00
1930,303750,Hume Street - 16/17,Birdwood Tce,Hume St,"499,014.70","6,961,382.40",-27.471117,152.990027,AUCHENFLOWER,Regular with seat,N,,Easy,Hard,13/04/2007 0:00
1931,303694,Gregory Street - 17,Birdwood Tce,Gregory St,"498,939.50","6,961,417.30",-27.470802,152.989266,AUCHENFLOWER,Regular,Y,Hard,Easy,Medium,13/04/2007 0:00
1933,303755,Torwood Street - 11,Haig Rd,Frew St,"499,940.40","6,961,742.90",-27.467863,152.999397,MILTON,Regular with seat,Y,, , ,13/04/2007 0:00
1934,303751,Hope Street - 15,Birdwood Tce,Hope St,"499,252.80","6,961,330.20",-27.471589,152.992437,AUCHENFLOWER,Regular with seat,N,, , ,13/04/2007 0:00
1935,303692,Hope Street - 15,Birdwood Tce,Hope St,"499,212.90","6,961,310.90",-27.471763,152.992033,AUCHENFLOWER,Regular,Y,Hard, , ,13/04/2007 0:00
